S/N,Location,Building Class,Floor Area (Sqm),Median Rent (Sqm),Reference Period
610,Fringe Area,Category 2,>500 - 1000,54.31,Q2 2020
611,Fringe Area,Category 2,100 & Below,42.06,Q3 2020
612,Fringe Area,Category 2,>100 - 200,34.55,Q3 2020
613,Fringe Area,Category 2,>1000,68.3,Q3 2020
614,Fringe Area,Category 2,>200 - 500,62.43,Q3 2020
615,Fringe Area,Category 2,>500 - 1000,40.37,Q3 2020
616,Fringe Area,Category 2,100 & Below,45,Q4 2020
617,Fringe Area,Category 2,>100 - 200,40.63,Q4 2020
618,Fringe Area,Category 2,>1000,68.89,Q4 2020
619,Fringe Area,Category 2,>200 - 500,46.62,Q4 2020
620,Fringe Area,Category 2,>500 - 1000,42.44,Q4 2020
621,Fringe Area,Category 2,100 & Below,47.83,Q1 2021
622,Fringe Area,Category 2,>100 - 200,49.06,Q1 2021
623,Fringe Area,Category 2,>1000,75.35,Q1 2021
624,Fringe Area,Category 2,>200 - 500,64.58,Q1 2021
625,Fringe Area,Category 2,>500 - 1000,60.63,Q1 2021
626,Fringe Area,Category 2,100 & Below,48.21,Q2 2021
627,Fringe Area,Category 2,>100 - 200,48.88,Q2 2021
628,Fringe Area,Category 2,>1000,72.76,Q2 2021
629,Fringe Area,Category 2,>200 - 500,61.18,Q2 2021
630,Fringe Area,Category 2,>500 - 1000,69.84,Q2 2021
631,Fringe Area,Category 2,100 & Below,45.65,Q3 2021
632,Fringe Area,Category 2,>100 - 200,52.36,Q3 2021
633,Fringe Area,Category 2,>1000,59.89,Q3 2021
634,Fringe Area,Category 2,>200 - 500,52.74,Q3 2021
635,Fringe Area,Category 2,>500 - 1000,64.59,Q3 2021
636,Fringe Area,Category 2,100 & Below,46.15,Q4 2021
637,Fringe Area,Category 2,>100 - 200,44.67,Q4 2021
638,Fringe Area,Category 2,>1000,77.64,Q4 2021
639,Fringe Area,Category 2,>200 - 500,60.54,Q4 2021
640,Fringe Area,Category 2,>500 - 1000,51.15,Q4 2021
641,Fringe Area,Category 2,100 & Below,50,Q1 2022
642,Fringe Area,Category 2,>100 - 200,45.22,Q1 2022
643,Fringe Area,Category 2,>1000,68.37,Q1 2022
644,Fringe Area,Category 2,>200 - 500,68.89,Q1 2022
645,Fringe Area,Category 2,>500 - 1000,74.23,Q1 2022
646,Fringe Area,Category 2,100 & Below,NA,Q2 2022
647,Fringe Area,Category 2,>100 - 200,NA,Q2 2022
648,Fringe Area,Category 2,>1000,NA,Q2 2022
649,Fringe Area,Category 2,>200 - 500,NA,Q2 2022
650,Fringe Area,Category 2,>500 - 1000,NA,Q2 2022
651,Fringe Area,Category 2,100 & Below,NA,Q3 2022
652,Fringe Area,Category 2,>100 - 200,NA,Q3 2022
653,Fringe Area,Category 2,>1000,NA,Q3 2022
654,Fringe Area,Category 2,>200 - 500,NA,Q3 2022
655,Fringe Area,Category 2,>500 - 1000,NA,Q3 2022
656,Fringe Area,Category 2,100 & Below,NA,Q4 2022
657,Fringe Area,Category 2,>100 - 200,NA,Q4 2022
658,Fringe Area,Category 2,>1000,NA,Q4 2022
659,Fringe Area,Category 2,>200 - 500,NA,Q4 2022
660,Fringe Area,Category 2,>500 - 1000,NA,Q4 2022
661,Outside Central Region,Category 2,100 & Below,27.12,Q1 2012
662,Outside Central Region,Category 2,>100 - 200,NA,Q1 2012
663,Outside Central Region,Category 2,>1000,NA,Q1 2012
664,Outside Central Region,Category 2,>200 - 500,NA,Q1 2012
665,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2012
666,Outside Central Region,Category 2,100 & Below,44.97,Q2 2012
667,Outside Central Region,Category 2,>100 - 200,NA,Q2 2012
668,Outside Central Region,Category 2,>1000,NA,Q2 2012
669,Outside Central Region,Category 2,>200 - 500,NA,Q2 2012
670,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2012
671,Outside Central Region,Category 2,100 & Below,48.04,Q3 2012
672,Outside Central Region,Category 2,>100 - 200,74.02,Q3 2012
673,Outside Central Region,Category 2,>1000,NA,Q3 2012
674,Outside Central Region,Category 2,>200 - 500,NA,Q3 2012
675,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2012
676,Outside Central Region,Category 2,100 & Below,34.25,Q4 2012
677,Outside Central Region,Category 2,>100 - 200,39.16,Q4 2012
678,Outside Central Region,Category 2,>1000,NA,Q4 2012
679,Outside Central Region,Category 2,>200 - 500,48.41,Q4 2012
680,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2012
681,Outside Central Region,Category 2,100 & Below,32.24,Q1 2013
682,Outside Central Region,Category 2,>100 - 200,51.13,Q1 2013
683,Outside Central Region,Category 2,>1000,NA,Q1 2013
684,Outside Central Region,Category 2,>200 - 500,69.27,Q1 2013
685,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2013
686,Outside Central Region,Category 2,100 & Below,41.54,Q2 2013
687,Outside Central Region,Category 2,>100 - 200,NA,Q2 2013
688,Outside Central Region,Category 2,>1000,NA,Q2 2013
689,Outside Central Region,Category 2,>200 - 500,NA,Q2 2013
690,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2013
691,Outside Central Region,Category 2,100 & Below,35.7,Q3 2013
692,Outside Central Region,Category 2,>100 - 200,NA,Q3 2013
693,Outside Central Region,Category 2,>1000,NA,Q3 2013
694,Outside Central Region,Category 2,>200 - 500,NA,Q3 2013
695,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2013
696,Outside Central Region,Category 2,100 & Below,38.16,Q4 2013
697,Outside Central Region,Category 2,>100 - 200,NA,Q4 2013
698,Outside Central Region,Category 2,>1000,NA,Q4 2013
699,Outside Central Region,Category 2,>200 - 500,NA,Q4 2013
700,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2013
701,Outside Central Region,Category 2,100 & Below,35.35,Q1 2014
702,Outside Central Region,Category 2,>100 - 200,NA,Q1 2014
703,Outside Central Region,Category 2,>1000,NA,Q1 2014
704,Outside Central Region,Category 2,>200 - 500,70.83,Q1 2014
705,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2014
706,Outside Central Region,Category 2,100 & Below,37.8,Q2 2014
707,Outside Central Region,Category 2,>100 - 200,43.58,Q2 2014
708,Outside Central Region,Category 2,>1000,NA,Q2 2014
709,Outside Central Region,Category 2,>200 - 500,50.15,Q2 2014
710,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2014
711,Outside Central Region,Category 2,100 & Below,42.5,Q3 2014
712,Outside Central Region,Category 2,>100 - 200,51.67,Q3 2014
713,Outside Central Region,Category 2,>1000,57.25,Q3 2014
714,Outside Central Region,Category 2,>200 - 500,26.37,Q3 2014
715,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2014
716,Outside Central Region,Category 2,100 & Below,33.33,Q4 2014
717,Outside Central Region,Category 2,>100 - 200,NA,Q4 2014
718,Outside Central Region,Category 2,>1000,NA,Q4 2014
719,Outside Central Region,Category 2,>200 - 500,37.05,Q4 2014
720,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2014
721,Outside Central Region,Category 2,100 & Below,45.83,Q1 2015
722,Outside Central Region,Category 2,>100 - 200,62.43,Q1 2015
723,Outside Central Region,Category 2,>1000,NA,Q1 2015
724,Outside Central Region,Category 2,>200 - 500,52.02,Q1 2015
725,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2015
726,Outside Central Region,Category 2,100 & Below,31.18,Q2 2015
727,Outside Central Region,Category 2,>100 - 200,52.48,Q2 2015
728,Outside Central Region,Category 2,>1000,NA,Q2 2015
729,Outside Central Region,Category 2,>200 - 500,NA,Q2 2015
730,Outside Central Region,Category 2,>500 - 1000,56.96,Q2 2015
731,Outside Central Region,Category 2,100 & Below,NA,Q3 2015
732,Outside Central Region,Category 2,>100 - 200,NA,Q3 2015
733,Outside Central Region,Category 2,>1000,NA,Q3 2015
734,Outside Central Region,Category 2,>200 - 500,NA,Q3 2015
735,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2015
736,Outside Central Region,Category 2,100 & Below,NA,Q4 2015
737,Outside Central Region,Category 2,>100 - 200,55.93,Q4 2015
738,Outside Central Region,Category 2,>1000,NA,Q4 2015
739,Outside Central Region,Category 2,>200 - 500,NA,Q4 2015
740,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2015
741,Outside Central Region,Category 2,100 & Below,NA,Q1 2016
742,Outside Central Region,Category 2,>100 - 200,NA,Q1 2016
743,Outside Central Region,Category 2,>1000,NA,Q1 2016
744,Outside Central Region,Category 2,>200 - 500,NA,Q1 2016
745,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2016
746,Outside Central Region,Category 2,100 & Below,NA,Q2 2016
747,Outside Central Region,Category 2,>100 - 200,NA,Q2 2016
748,Outside Central Region,Category 2,>1000,NA,Q2 2016
749,Outside Central Region,Category 2,>200 - 500,NA,Q2 2016
750,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2016
751,Outside Central Region,Category 2,100 & Below,NA,Q3 2016
752,Outside Central Region,Category 2,>100 - 200,NA,Q3 2016
753,Outside Central Region,Category 2,>1000,NA,Q3 2016
754,Outside Central Region,Category 2,>200 - 500,NA,Q3 2016
755,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2016
756,Outside Central Region,Category 2,100 & Below,NA,Q4 2016
757,Outside Central Region,Category 2,>100 - 200,NA,Q4 2016
758,Outside Central Region,Category 2,>1000,NA,Q4 2016
759,Outside Central Region,Category 2,>200 - 500,NA,Q4 2016
760,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2016
761,Outside Central Region,Category 2,100 & Below,66.25,Q1 2017
762,Outside Central Region,Category 2,>100 - 200,NA,Q1 2017
763,Outside Central Region,Category 2,>1000,NA,Q1 2017
764,Outside Central Region,Category 2,>200 - 500,NA,Q1 2017
765,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2017
766,Outside Central Region,Category 2,100 & Below,45.83,Q2 2017
767,Outside Central Region,Category 2,>100 - 200,47.9,Q2 2017
768,Outside Central Region,Category 2,>1000,NA,Q2 2017
769,Outside Central Region,Category 2,>200 - 500,59.74,Q2 2017
770,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2017
771,Outside Central Region,Category 2,100 & Below,48.78,Q3 2017
772,Outside Central Region,Category 2,>100 - 200,62.43,Q3 2017
773,Outside Central Region,Category 2,>1000,NA,Q3 2017
774,Outside Central Region,Category 2,>200 - 500,NA,Q3 2017
775,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2017
776,Outside Central Region,Category 2,100 & Below,46.29,Q4 2017
777,Outside Central Region,Category 2,>100 - 200,50.59,Q4 2017
778,Outside Central Region,Category 2,>1000,NA,Q4 2017
779,Outside Central Region,Category 2,>200 - 500,66.82,Q4 2017
780,Outside Central Region,Category 2,>500 - 1000,56.98,Q4 2017
781,Outside Central Region,Category 2,100 & Below,37.5,Q1 2018
782,Outside Central Region,Category 2,>100 - 200,50.86,Q1 2018
783,Outside Central Region,Category 2,>1000,NA,Q1 2018
784,Outside Central Region,Category 2,>200 - 500,59.2,Q1 2018
785,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2018
786,Outside Central Region,Category 2,100 & Below,41.67,Q2 2018
787,Outside Central Region,Category 2,>100 - 200,53.83,Q2 2018
788,Outside Central Region,Category 2,>1000,NA,Q2 2018
789,Outside Central Region,Category 2,>200 - 500,58.68,Q2 2018
790,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2018
791,Outside Central Region,Category 2,100 & Below,36.02,Q3 2018
792,Outside Central Region,Category 2,>100 - 200,41.28,Q3 2018
793,Outside Central Region,Category 2,>1000,NA,Q3 2018
794,Outside Central Region,Category 2,>200 - 500,NA,Q3 2018
795,Outside Central Region,Category 2,>500 - 1000,53.28,Q3 2018
796,Outside Central Region,Category 2,100 & Below,37.5,Q4 2018
797,Outside Central Region,Category 2,>100 - 200,48.43,Q4 2018
798,Outside Central Region,Category 2,>1000,NA,Q4 2018
799,Outside Central Region,Category 2,>200 - 500,62.42,Q4 2018
800,Outside Central Region,Category 2,>500 - 1000,40.46,Q4 2018
801,Outside Central Region,Category 2,100 & Below,37.5,Q1 2019
802,Outside Central Region,Category 2,>100 - 200,54.36,Q1 2019
803,Outside Central Region,Category 2,>1000,NA,Q1 2019
804,Outside Central Region,Category 2,>200 - 500,56.24,Q1 2019
805,Outside Central Region,Category 2,>500 - 1000,NA,Q1 2019
806,Outside Central Region,Category 2,100 & Below,41.67,Q2 2019
807,Outside Central Region,Category 2,>100 - 200,53.28,Q2 2019
808,Outside Central Region,Category 2,>1000,NA,Q2 2019
809,Outside Central Region,Category 2,>200 - 500,NA,Q2 2019
810,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2019
811,Outside Central Region,Category 2,100 & Below,42.71,Q3 2019
812,Outside Central Region,Category 2,>100 - 200,55.97,Q3 2019
813,Outside Central Region,Category 2,>1000,NA,Q3 2019
814,Outside Central Region,Category 2,>200 - 500,64.96,Q3 2019
815,Outside Central Region,Category 2,>500 - 1000,59.56,Q3 2019
816,Outside Central Region,Category 2,100 & Below,41.67,Q4 2019
817,Outside Central Region,Category 2,>100 - 200,45.71,Q4 2019
818,Outside Central Region,Category 2,>1000,66.3,Q4 2019
819,Outside Central Region,Category 2,>200 - 500,56.89,Q4 2019
820,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2019
821,Outside Central Region,Category 2,100 & Below,42.25,Q1 2020
822,Outside Central Region,Category 2,>100 - 200,51.67,Q1 2020
823,Outside Central Region,Category 2,>1000,57.47,Q1 2020
824,Outside Central Region,Category 2,>200 - 500,59.2,Q1 2020
825,Outside Central Region,Category 2,>500 - 1000,60.82,Q1 2020
826,Outside Central Region,Category 2,100 & Below,52.47,Q2 2020
827,Outside Central Region,Category 2,>100 - 200,45.15,Q2 2020
828,Outside Central Region,Category 2,>1000,63.29,Q2 2020
829,Outside Central Region,Category 2,>200 - 500,25.83,Q2 2020
830,Outside Central Region,Category 2,>500 - 1000,53.48,Q2 2020
831,Outside Central Region,Category 2,100 & Below,38.73,Q3 2020
832,Outside Central Region,Category 2,>100 - 200,56.5,Q3 2020
833,Outside Central Region,Category 2,>1000,88.49,Q3 2020
834,Outside Central Region,Category 2,>200 - 500,53.82,Q3 2020
835,Outside Central Region,Category 2,>500 - 1000,75.24,Q3 2020
836,Outside Central Region,Category 2,100 & Below,39.58,Q4 2020
837,Outside Central Region,Category 2,>100 - 200,40.98,Q4 2020
838,Outside Central Region,Category 2,>1000,110.75,Q4 2020
839,Outside Central Region,Category 2,>200 - 500,50.6,Q4 2020
840,Outside Central Region,Category 2,>500 - 1000,59.2,Q4 2020
841,Outside Central Region,Category 2,100 & Below,39.58,Q1 2021
842,Outside Central Region,Category 2,>100 - 200,48.44,Q1 2021
843,Outside Central Region,Category 2,>1000,58.65,Q1 2021
844,Outside Central Region,Category 2,>200 - 500,57.59,Q1 2021
845,Outside Central Region,Category 2,>500 - 1000,54.09,Q1 2021
846,Outside Central Region,Category 2,100 & Below,40.24,Q2 2021
847,Outside Central Region,Category 2,>100 - 200,51.68,Q2 2021
848,Outside Central Region,Category 2,>1000,15.98,Q2 2021
849,Outside Central Region,Category 2,>200 - 500,55.96,Q2 2021
850,Outside Central Region,Category 2,>500 - 1000,64.54,Q2 2021
851,Outside Central Region,Category 2,100 & Below,38.77,Q3 2021
852,Outside Central Region,Category 2,>100 - 200,43.18,Q3 2021
853,Outside Central Region,Category 2,>1000,NA,Q3 2021
854,Outside Central Region,Category 2,>200 - 500,43.06,Q3 2021
855,Outside Central Region,Category 2,>500 - 1000,27.67,Q3 2021
856,Outside Central Region,Category 2,100 & Below,41.6,Q4 2021
857,Outside Central Region,Category 2,>100 - 200,48.4,Q4 2021
858,Outside Central Region,Category 2,>1000,47.77,Q4 2021
859,Outside Central Region,Category 2,>200 - 500,57.05,Q4 2021
860,Outside Central Region,Category 2,>500 - 1000,53.82,Q4 2021
861,Outside Central Region,Category 2,100 & Below,45.83,Q1 2022
862,Outside Central Region,Category 2,>100 - 200,50.64,Q1 2022
863,Outside Central Region,Category 2,>1000,13.3,Q1 2022
864,Outside Central Region,Category 2,>200 - 500,55.42,Q1 2022
865,Outside Central Region,Category 2,>500 - 1000,61.35,Q1 2022
866,Outside Central Region,Category 2,100 & Below,NA,Q2 2022
867,Outside Central Region,Category 2,>100 - 200,NA,Q2 2022
868,Outside Central Region,Category 2,>1000,NA,Q2 2022
869,Outside Central Region,Category 2,>200 - 500,NA,Q2 2022
870,Outside Central Region,Category 2,>500 - 1000,NA,Q2 2022
871,Outside Central Region,Category 2,100 & Below,NA,Q3 2022
872,Outside Central Region,Category 2,>100 - 200,NA,Q3 2022
873,Outside Central Region,Category 2,>1000,NA,Q3 2022
874,Outside Central Region,Category 2,>200 - 500,NA,Q3 2022
875,Outside Central Region,Category 2,>500 - 1000,NA,Q3 2022
876,Outside Central Region,Category 2,100 & Below,NA,Q4 2022
877,Outside Central Region,Category 2,>100 - 200,NA,Q4 2022
878,Outside Central Region,Category 2,>1000,NA,Q4 2022
879,Outside Central Region,Category 2,>200 - 500,NA,Q4 2022
880,Outside Central Region,Category 2,>500 - 1000,NA,Q4 2022
